Date,Price,Signal,NetValue
2010-08-09,37.3928,----,11620.1
2010-08-10,37.0585,----,11620.1
2010-08-11,35.7414,----,11620.1
2010-08-12,35.97,SELL,11620.1
2010-08-13,35.5857,----,11620.1
2010-08-16,35.3771,----,11620.1
2010-08-17,35.9957,----,11620.1
2010-08-18,36.1528,----,11620.1
2010-08-19,35.6971,----,11620.1
2010-08-20,35.6628,----,11620.1
2010-08-23,35.1143,----,11620.1
2010-08-24,34.2757,----,11620.1
2010-08-25,34.6985,----,11620.1
2010-08-26,34.3257,----,11620.1
2010-08-27,34.5171,----,11620.1
2010-08-30,34.6428,----,11620.1
2010-08-31,34.7285,----,11620.1
2010-09-01,35.7614,----,11620.1
2010-09-02,36.0242,----,11620.1
2010-09-03,36.9671,BUY ,11620.1
2010-09-07,36.83,----,11620.1
2010-09-08,37.56,----,11620.1
2010-09-09,37.5814,----,11620.1
2010-09-10,37.63,----,11620.1
2010-09-13,38.1485,----,11620.1
2010-09-14,38.2942,----,11620.1
2010-09-15,38.6028,----,11620.1
2010-09-16,39.51,----,11620.1
2010-09-17,39.3385,----,11620.1
2010-09-20,40.4614,----,11620.1
2010-09-21,40.5385,----,11620.1
2010-09-22,41.1071,----,11620.1
2010-09-23,41.2742,----,11620.1
2010-09-24,41.76,----,11620.1
2010-09-27,41.5948,----,11620.1
2010-09-28,40.98,----,11620.1
2010-09-29,41.0528,----,11620.1
2010-09-30,40.5357,----,11620.1
2010-10-01,40.36,----,11620.1
2010-10-04,39.8057,----,11620.1
2010-10-05,41.2771,----,11620.1
2010-10-06,41.3128,----,11620.1
2010-10-07,41.3171,----,11620.1
2010-10-08,42.01,----,11620.1
2010-10-11,42.1942,----,11620.1
2010-10-12,42.6485,----,11620.1
2010-10-13,42.8771,----,11620.1
2010-10-14,43.1871,----,11620.1
2010-10-15,44.9628,----,11620.1
2010-10-18,45.4285,----,11620.1
2010-10-19,44.2128,----,11620.1
2010-10-20,44.3614,----,11620.1
2010-10-21,44.2171,----,11620.1
2010-10-22,43.9242,----,11620.1
2010-10-25,44.12,----,11620.1
2010-10-26,44.0071,----,11620.1
2010-10-27,43.9757,----,11620.1
2010-10-28,43.6057,----,11620.1
2010-10-29,42.9971,----,11620.1
2010-11-01,43.4542,----,11620.1
2010-11-02,44.1942,----,11620.1
2010-11-03,44.6857,----,11620.1
2010-11-04,45.4671,----,11620.1
2010-11-05,45.3042,----,11620.1
2010-11-08,45.5171,----,11620.1
2010-11-09,45.1542,----,11620.1
2010-11-10,45.4328,----,11620.1
2010-11-11,45.2364,----,11620.1
2010-11-12,44.0042,----,11620.1
2010-11-15,43.8621,----,11620.1
2010-11-16,43.0842,SELL,11620.1
2010-11-17,42.9285,----,11620.1
2010-11-18,44.0614,----,11620.1
2010-11-19,43.8185,----,11620.1
2010-11-22,44.7657,----,11620.1
2010-11-23,44.1042,----,11620.1
2010-11-24,44.9707,BUY ,11620.1
2010-11-26,45.1085,----,11620.1
2010-11-29,45.2671,----,11620.1
2010-11-30,44.45,----,11620.1
2010-12-01,45.2,----,11620.1
2010-12-02,45.45,----,11620.1
2010-12-03,45.3485,----,11620.1
2010-12-06,45.7357,----,11620.1
2010-12-07,45.4585,----,11620.1
2010-12-08,45.8585,----,11620.1
2010-12-09,45.6796,----,11620.1
2010-12-10,45.7942,----,11620.1
2010-12-13,45.9528,----,11620.1
2010-12-14,45.7557,----,11620.1
2010-12-15,45.7657,----,11620.1
2010-12-16,45.8928,----,11620.1
2010-12-17,45.8014,----,11620.1
2010-12-20,46.03,----,11620.1
2010-12-21,46.315,----,11620.1
2010-12-22,46.4514,----,11620.1
2010-12-23,46.2285,----,11620.1
2010-12-27,46.3828,----,11620.1
2010-12-28,46.4957,----,11620.1
2010-12-29,46.47,----,11620.1
2010-12-30,46.2371,----,11620.1
2010-12-31,46.08,----,11620.1
2011-01-03,47.0814,----,11620.1
2011-01-04,47.3271,----,11620.1
2011-01-05,47.7142,----,11620.1
2011-01-06,47.6757,----,11620.1
2011-01-07,48.0171,----,11620.1
2011-01-10,48.9221,----,11620.1
2011-01-11,48.8057,----,11620.1
2011-01-12,49.2028,----,11620.1
2011-01-13
